"status_id","created_at","screen_name","text","favorite_count","retweet_count","place_full_name","friends_count"
"1208099687020056583",2019-12-20 18:59:45,"UTexJim","I saw it last weekend when on campus. It's a ""Welcome"" change! #HookEm <U+0001F918> https://t.co/q5nPN8ywuX",0,0,NA,135
"1208096017364783109",2019-12-20 18:45:10,"JMVC_ATX","Actually, every year is. #HookEm <U+0001F918> https://t.co/uu9r2bDoSf",2,0,"Austin, TX",1965
"1208094779889930240",2019-12-20 18:40:15,"_DaMoney_","Y’all been ass all year at least when this bitch #HookEm https://t.co/UFFzggnoRq",3,0,NA,797
"1208093588627828743",2019-12-20 18:35:31,"RecruitLouisian","Let’s Geaux!!! <U+0001F918><U+0001F3FC>#HookEm https://t.co/oQTv6bHEZN",4,3,NA,13860
"1208092217170104322",2019-12-20 18:30:04,"CoreyLWren","Blessed To Announce I’ve Received An  Offer From The University Of Texas. #HookEm <U+0001F918><U+0001F3FE> https://t.co/k2NRodDC4F",823,81,NA,924
"1207979863610707968",2019-12-20 11:03:37,"Ten12Podcast","Who will win our picks; Phillip or Chris? This week's episode will decide. Plus, our favorite pro picker Daniel Alexander returns to help make us smarter! #HookEm #CyclONEnation #okstate #sicem #kstate #sooners https://t.co/LTbs6AEQpR",0,1,NA,376
"1208092147750191105",2019-12-20 18:29:47,"Ten12Podcast","Bowl Season is HERE! We’re picking all six #Big12 bowls with our pro picker @DannerB7! #okstate #sooners #sicem #cyclONEnation #hookem #kstate https://t.co/vQzOGtI8MO",1,2,NA,376
"1208091379437576194",2019-12-20 18:26:44,"FLTXRedDevil","That was a great adjustment by Texas target @kelvontay3 there.  Came back inside and worked open to get the ball for the score just before halftime.  #BeastTexas @keaontay_ingram #Texas #Hookem",1,0,NA,719
"1208081380288020481",2019-12-20 17:47:00,"TexasTFXC","Tripp's excited. <U+0001F604>

#FamilyOnAMission | #HookEm <U+0001F918> https://t.co/uIfeZDYBdD",47,4,NA,178
"1208036048481193985",2019-12-20 14:46:52,"TexasTFXC","Stacey Ann Williams. Kingston, Jamaica.

200m - 23.98
400m - 52.60

#WelcomeToTexas | #HookEm <U+0001F918> https://t.co/hzDq5aQATT",66,7,NA,178
